time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,place,horizontalError,depthError,magError,magNst
2025-03-19T08:13:25.102Z,-24.4012,179.8213,522.588,4.8,mb,33,72,5.226,1.17,south of the Fiji Islands,13.29,7.456,0.092,37
2025-03-19T08:13:08.362Z,51.0428,-176.1399,13.018,5,mww,113,141,0.837,1.18,"98 km SSE of Adak, Alaska",4.67,4.34,0.098,10
2025-03-19T07:55:44.540Z,41.3965,-123.9046667,29.26,2.76,md,32,141,0.1062,0.15,"18 km SSE of Klamath, CA",0.34,0.73,0.093,19
2025-03-19T07:36:00.658Z,51.7176,-179.1925,95.213,3.3,ml,24,137,0.217,0.2,"177 km W of Adak, Alaska",7.39,3.809,0.085,18
2025-03-19T06:51:14.162Z,54.3242,-159.7982,19.999,3,ml,27,203,1.1,0.72,"121 km SSE of Sand Point, Alaska",6.93,11.272,0.081,20
2025-03-19T06:31:33.638Z,-15.2223,-177.4759,388.674,4.3,mb,51,61,3.282,0.57,"121 km SE of Alo, Wallis and Futuna",10.94,6.932,0.08,44
2025-03-19T05:56:53.077Z,51.8113,-174.004,94.347,3.1,ml,13,277,0.409,0.6,"44 km SSE of Atka, Alaska",14.44,13.367,0.115,10
2025-03-19T05:18:31.563Z,51.3332,-176.0218,28.244,2.7,ml,12,240,0.581,0.29,"73 km SE of Adak, Alaska",3.84,11.73,0.128,8
2025-03-19T05:04:25.114Z,1.1313,-85.2599,10,4.8,mww,28,185,5.615,1.08,off the coast of Ecuador,11.85,2,0.066,22
2025-03-19T04:31:03.404Z,50.613,-173.4769,35,3.3,ml,13,295,1.653,0.73,"183 km SSE of Atka, Alaska",9.68,2.028,0.115,10
2025-03-19T04:25:15.184Z,37.0779,136.6345,8.442,4.6,mww,155,58,1.367,0.89,"25 km NNW of Hakui, Japan",5.25,3.818,0.117,7
2025-03-19T03:56:45.840Z,40.395,-125.1841667,10,3.66,mw,73,257,0.6501,0.32,"77 km WNW of Petrolia, CA",1.2,31.61,,4
2025-03-19T03:38:14.792Z,13.0411,93.3046,43.438,4.4,mb,21,106,1.482,0.62,"161 km NNE of Bamboo Flat, India",8.91,9.093,0.161,11
2025-03-19T03:14:03.537Z,-55.4687,-29.5552,51.06,4.4,mb,12,190,4.177,0.49,South Sandwich Islands region,15.66,11.413,0.17,10
2025-03-19T02:59:59.336Z,51.2839,-178.7191,7.144,3.9,mb,56,193,0.276,0.85,"158 km WSW of Adak, Alaska",2.54,6.223,0.102,25
2025-03-19T02:59:09.800Z,-30.1094,-177.7887,28.073,4.4,mb,16,188,0.87,1.08,"Kermadec Islands, New Zealand",10.87,6.181,0.162,11
2025-03-19T02:47:45.667Z,13.7206,-89.0896,149.611,4.9,mb,164,121,0.148,1.05,"2 km NE of Ilopango, El Salvador",6.4,5.463,0.049,132
2025-03-19T02:38:37.220Z,-14.2062,173.5242,599.044,4,mb,33,68,5.598,0.72,Fiji region,15.16,9.134,0.113,21
2025-03-19T02:26:45.683Z,-14.2304,173.4747,609.657,4.1,mb,43,84,5.62,0.66,Fiji region,14.54,8.355,0.095,30
2025-03-19T01:46:31.250Z,-6.7809,129.723,136.978,4.8,mb,44,67,2.251,1.16,Banda Sea,7.17,7.589,0.094,35
2025-03-19T01:21:46.771Z,14.004,-87.126,10,3.4,ml,7,223,0.152,0.53,"3 km SSE of Villa Nueva, Honduras",4.91,1.925,0.091,16
2025-03-19T01:07:13.999Z,-2.7683,130.2026,10,4,mb,11,136,1.768,1.2,"149 km ENE of Masohi, Indonesia",7.78,1.878,0.172,9
2025-03-18T23:26:32.300Z,36.64783333,-121.2696667,6.84,2.59,md,62,89,0.05169,0.08,"16 km S of Tres Pinos, CA",0.14,0.35,0.121,95
2025-03-18T22:52:34.157Z,-55.378,-28.9052,36.839,5.6,mww,59,78,4.52,0.67,South Sandwich Islands region,11.38,7.654,0.06,27
2025-03-18T22:51:26.624Z,-35.9492,-72.4603,51.532,4.2,mb,37,101,0.867,0.57,"12 km W of Cauquenes, Chile",3.79,10.463,0.187,8
2025-03-18T22:10:21.418Z,12.2042,-88.1641,35,4.6,mb,72,142,1.219,0.64,"97 km SW of Jiquilillo, Nicaragua",3.2,1.938,0.071,59
2025-03-18T21:39:31.696Z,-9.0363,124.1657,91.182,4.4,mb,11,111,0.721,0.43,"30 km NW of Pante Makasar, Timor Leste",7.39,8.478,0.204,7
2025-03-18T21:27:21.320Z,36.60516667,-121.211,6.94,2.73,md,70,86,0.03924,0.09,"10 km NNW of Pinnacles, CA",0.16,0.27,0.124,114
2025-03-18T21:24:20.412Z,43.7835,7.2915,10,3.1,ml,23,149,1.691,0.7,"1 km ESE of Tourrette-Levens, France",4.27,1.926,0.06,36
2025-03-18T21:17:48.745Z,-30.0661,-71.2816,68.294,5.3,mww,129,64,0.152,0.83,"13 km SSE of Coquimbo, Chile",2.73,3.634,0.068,21
2025-03-18T20:57:57.194Z,-17.8706,168.0027,35,4.5,mb,24,193,2.529,0.7,"36 km WSW of Port-Vila, Vanuatu",9.81,1.969,0.121,20
2025-03-18T20:25:38.494Z,-28.405,-69.1048,98.524,4.8,mb,100,40,1.521,0.88,"96 km WNW of Vinchina, Argentina",6.6,5.29,0.075,56
2025-03-18T20:16:53.759Z,63.3854,-151.7039,13.1,2.6,ml,,,,0.64,"17 km S of Denali National Park, Alaska",,0.2,,
2025-03-18T19:42:28.371Z,34.477,-110.2511,5,3.2,ml,13,80,0.254,0.46,"13 km NNE of Clay Springs, Arizona",1.46,1.844,0.045,64
2025-03-18T19:17:58.930Z,-0.261,122.991,90.677,4.6,mb,79,29,0.806,0.77,"79 km NNE of Luwuk, Indonesia",5.16,6.819,0.075,53
2025-03-18T18:24:53.563Z,61.302,-152.2449,5,2.6,ml,,,,0.32,"64 km WNW of Beluga, Alaska",,0.3,,
2025-03-18T17:48:39.683Z,-17.9014,-178.5515,586.409,4.4,mb,46,112,2.439,0.83,"226 km E of Levuka, Fiji",14.99,9.592,0.088,38
2025-03-18T17:44:59.970Z,43.8554,7.3311,10,3.3,ml,31,50,1.641,0.78,"2 km N of Berre-les-Alpes, France",6.27,1.994,0.06,36
2025-03-18T16:14:57.826Z,58.1403,-156.3521,1.8,2.9,ml,,,,0.47,"60 km E of Egegik, Alaska",,0.2,,
2025-03-18T15:40:49.970Z,18.86766667,-65.164,21.79,3.43,md,18,259,0.549,0.25,"63 km NNW of Charlotte Amalie, U.S. Virgin Islands",1.03,18.36,0.13570689,13
2025-03-18T15:20:09.132Z,57.0478,-157.8774,0,2.8,ml,,,,0.81,"59 km SSW of Ugashik, Alaska",,0.4,,
2025-03-18T14:58:06.907Z,36.8908,71.2117,101.673,4.2,mb,55,71,2.399,0.8,"33 km E of Jurm, Afghanistan",3.74,7.462,0.108,26
2025-03-18T14:53:46.799Z,8.8348,126.3326,70.604,4.5,mb,14,136,1.906,0.98,"5 km NE of Marihatag, Philippines",13.12,5.544,0.156,12
2025-03-18T14:43:22.670Z,19.0665,-65.3415,13.14,3.31,md,9,269,0.7571,0.18,"84 km N of Culebra, Puerto Rico",2.24,3.28,0.038264213,5
2025-03-18T14:31:25.913Z,-15.1128,-173.5169,27.581,4.4,mb,22,110,2.984,1.25,"97 km NNE of Hihifo, Tonga",11.32,5.961,0.139,17
2025-03-18T14:14:38.683Z,-10.7961,163.063,38.725,4.9,mb,84,56,3.351,0.83,"130 km ESE of Kirakira, Solomon Islands",8.37,6.685,0.066,80
2025-03-18T13:06:30.450Z,18.7155,-65.746,42.05,3.43,md,21,215,0.5034,0.24,"33 km NNE of Vieques, Puerto Rico",1.03,2.54,0.013101481,5
2025-03-18T12:49:22.079Z,-24.0447,-115.4298,10,4.7,mb,54,123,6.238,0.66,southern East Pacific Rise,13.06,1.923,0.081,47
2025-03-18T12:38:59.907Z,12.1754,141.4738,10,4.6,mb,41,104,3.596,0.81,"286 km NNE of Fais, Micronesia",8.85,1.895,0.102,30
2025-03-18T12:28:56.070Z,-24.0493,-115.1734,10,4.6,mb,38,114,6.035,0.54,southern East Pacific Rise,12.79,1.896,0.097,32
2025-03-18T11:57:17.348Z,-2.8984,130.1387,10,4.7,mb,70,41,1.63,0.48,"137 km ENE of Masohi, Indonesia",5.89,1.846,0.07,67
2025-03-18T11:38:46.490Z,18.00816667,-66.82916667,12.37,2.79,md,20,143,0.03057,0.29,"1 km NW of Indios, Puerto Rico",0.65,0.58,0.148175867,12
2025-03-18T11:21:51.838Z,29.7285,104.8957,10,4.4,mb,20,144,4.026,0.35,"7 km SE of Chonglong, China",9.73,1.924,0.17,11
2025-03-18T11:20:44.634Z,29.5831,104.622,10,4.6,mb,68,81,4.285,0.51,"30 km NNW of Zigong, China",5.52,1.906,0.075,54
2025-03-18T10:50:42.820Z,-8.7541,-75.6499,85.559,4.3,mb,31,125,3.087,0.54,"48 km W of San Alejandro, Peru",5.21,9.12,0.109,24
2025-03-18T10:41:05.151Z,-6.938,107.2504,116.368,4.5,mb,82,56,0.655,0.84,"13 km S of Ciranjang-hilir, Indonesia",8.05,5.934,0.063,77
2025-03-18T10:04:43.450Z,51.8411,-173.9905,43.5,2.8,ml,,,,0.43,"42 km SSE of Atka, Alaska",,1.5,,
2025-03-18T09:50:26.946Z,36.4349,3.4384,10,4.8,mww,167,55,3.516,0.51,"19 km SW of Lakhdaria, Algeria",7.35,1.8,0.083,14
2025-03-18T09:44:26.627Z,32.434,-101.74,7.3486,2.6,ml,38,63,0,0.1,"10 km SSW of Ackerly, Texas",0.601171236,0.72110908,0.2,36
2025-03-18T09:20:51.104Z,-6.5219,129.9662,143.726,4.5,mb,51,49,1.987,0.45,Banda Sea,8.36,7.7,0.092,35
2025-03-18T09:01:25.321Z,40.678,15.8681,10,4.4,mb,128,58,0.637,0.53,"4 km WNW of Vaglio Basilicata, Italy",5.32,1.851,0.068,64
2025-03-18T08:18:54.886Z,-8.483,-75.088,126.589,4.1,mb,33,118,2.475,0.86,"30 km W of Campo Verde, Peru",7.5,9.947,0.14,16
2025-03-18T07:49:00.454Z,24.3088,94.8302,118.337,5.1,mww,106,24,3.09,0.64,"83 km ESE of WÄngjing, India",7.59,4.109,0.093,11
2025-03-18T07:36:32.600Z,19.0705,-65.33083333,49.32,3.34,md,8,280,0.7604,0.24,"85 km N of Culebra, Puerto Rico",3.16,7.99,0.023832731,5
2025-03-18T07:27:19.358Z,-15.9212,-178.1157,454.617,4.2,mb,24,193,2.478,0.7,"178 km S of Alo, Wallis and Futuna",16.74,13.239,0.115,21
2025-03-18T06:31:12.973Z,-42.8392,42.6157,10,4.9,mb,79,42,7.507,0.92,Prince Edward Islands region,10.41,1.843,0.064,78
2025-03-18T06:10:50.330Z,47.3795,-122.4703333,23.03,3.23,ml,168,11,0.04501,0.23,"7 km ESE of Maplewood, Washington",0.16,0.35,0.179263667,167
2025-03-18T05:59:32.650Z,19.202,-65.31733333,25.35,3.27,md,21,278,0.8904,0.24,"99 km N of Culebra, Puerto Rico",1.2,18.05,0.05278793,7
2025-03-18T05:53:00.268Z,60.193,-146.7239,21.8,3.2,ml,,,,0.74,"66 km SW of Cordova, Alaska",,0.4,,
2025-03-18T05:39:22.042Z,59.7269,-153.3059,111.8,2.6,ml,,,,0.59,"45 km E of Pedro Bay, Alaska",,0.2,,
2025-03-18T05:31:26.158Z,-55.5672,-27.4204,39.73,4.5,mb,24,98,5.385,0.49,South Sandwich Islands region,12.8,8.567,0.113,23
2025-03-18T05:30:55.010Z,-22.1115,-67.2329,184.688,4.6,mb,87,30,1.21,0.95,"133 km NE of San Pedro de Atacama, Chile",6.56,6.415,0.043,158
2025-03-18T05:15:21.524Z,51.4796,-179.1541,11,2.7,ml,,,,0.52,"179 km WSW of Adak, Alaska",,0.2,,
2025-03-18T04:46:13.940Z,37.70833333,-121.9885,10.42,2.88,md,155,24,0.04379,0.15,"5 km WNW of Dublin, CA",0.12,0.2,0.16,125
2025-03-18T04:37:51.236Z,17.9482,-66.7731,17.738,2.6,ml,16,186,0.223,0.78,"7 km SE of Indios, Puerto Rico",1.13,2.476,0.064,32
2025-03-18T04:27:02.250Z,23.3218,124.2696,10,4.3,mb,15,137,1.053,0.59,"113 km S of Ishigaki, Japan",5.29,1.941,0.237,5
2025-03-18T04:00:16.730Z,18.86633333,-65.14633333,14.03,3.36,md,17,268,0.542,0.39,"62 km NNW of Charlotte Amalie, U.S. Virgin Islands",2.35,4.44,0.089709043,12
2025-03-18T03:58:54.190Z,18.97916667,-65.0315,14.61,3.4,md,8,290,0.6275,0.08,"71 km N of Charlotte Amalie, U.S. Virgin Islands",2.52,5.34,0.018965413,4
2025-03-18T03:50:58.987Z,21.612,144.3084,130.607,4.3,mb,46,130,5.792,0.55,Mariana Islands region,11.98,6.852,0.091,34
2025-03-18T03:13:51.330Z,50.9856,-174.0787,13.9,2.6,ml,,,,0.88,"134 km S of Atka, Alaska",,6,,
2025-03-18T03:07:13.802Z,51.6462,-173.9256,22.8,2.5,ml,,,,0.4,"64 km SSE of Atka, Alaska",,0.5,,
2025-03-18T03:05:02.580Z,17.9446,-67.0025,7,2.98,md,12,206,0.0485,0.08,"5 km SE of La Parguera, Puerto Rico",0.77,0.24,0.16,5
2025-03-18T02:46:33.330Z,37.70716667,-121.9941667,10.91,3.86,mw,228,14,0.04832,0.17,"5 km WNW of Dublin, CA",0.11,0.19,,6
2025-03-18T02:40:24.420Z,18.9911,-64.2766,24,3.65,md,18,317,0.9328,0.17,"91 km NE of Cruz Bay, U.S. Virgin Islands",1.38,14.34,0.06,10
2025-03-18T02:27:34.578Z,-55.7425,-34.3458,10,5,mb,62,64,1.913,0.78,South Georgia Island region,9.89,1.828,0.077,54
2025-03-18T01:27:08.226Z,51.6898,-174.3725,11.8,2.5,ml,,,,0.6,"57 km SSW of Atka, Alaska",,3,,
2025-03-18T01:13:06.577Z,53.97,-166.0982,75.7,2.6,ml,,,,0.52,"27 km SW of Akutan, Alaska",,0.2,,
2025-03-18T00:56:25.769Z,63.0603,-149.2733,78.2,3.5,ml,,,,0.86,"40 km SSW of Cantwell, Alaska",,0.4,,
2025-03-18T00:55:47.550Z,17.96583333,-66.81,15.3,2.77,md,18,188,0.05667,0.13,"3 km SSE of Indios, Puerto Rico",0.42,0.39,0.070391616,15
2025-03-18T00:12:06.395Z,-60.4236,-27.1471,35,4.5,mb,21,102,17.348,0.48,South Sandwich Islands region,14.34,1.956,0.121,20
2025-03-17T23:54:51.911Z,63.1108,-151.4728,11.1,2.8,ml,,,,0.53,"49 km SSE of Denali National Park, Alaska",,0.2,,
2025-03-17T23:52:19.203Z,-7.1702,129.5236,88.147,4.4,mb,16,114,2.658,0.95,"Kepulauan Babar, Indonesia",9.65,12.976,0.139,15
2025-03-17T23:04:35.490Z,5.5494,126.0931,129.301,4.5,mb,55,108,1.016,0.82,"64 km SE of Caburan, Philippines",7.63,6.988,0.087,39
2025-03-17T22:47:54.959Z,64.4704,-149.3787,12.2,2.9,ml,,,,0.57,"16 km NNW of Anderson, Alaska",,0.1,,
2025-03-17T22:47:19.567Z,63.0733,-151.4758,1.2,2.9,ml,,,,0.55,"53 km SSE of Denali National Park, Alaska",,0.6,,
2025-03-17T22:45:40.817Z,63.1348,-151.3136,6.061,4,mwr,85,26,0.45,0.72,"49 km SSE of Denali National Park, Alaska",2.37,4.943,0.032,96
2025-03-17T22:45:40.736Z,63.0954,-151.3737,4.3,3.9,ml,,,,0.76,"52 km SSE of Denali National Park, Alaska",,0.2,,
2025-03-17T22:45:25.810Z,63.0871,-151.4337,0.5,3.2,ml,,,,0.72,"52 km SSE of Denali National Park, Alaska",,0.3,,
2025-03-17T22:30:53.020Z,32.2944,141.2115,35,4.6,mb,69,119,1.435,0.45,"Izu Islands, Japan region",8.52,1.916,0.077,50
2025-03-17T22:30:48.809Z,39.071,142.2961,48.918,4.4,mb,33,156,1.96,0.56,"43 km ESE of Kamaishi, Japan",3.29,8.636,0.12,20
2025-03-17T22:23:37.279Z,1.8643,99.1384,50.21,5.4,mww,104,75,3.994,0.61,"42 km ENE of Sibolga, Indonesia",8.54,5.556,0.075,17
2025-03-17T22:22:37.234Z,1.7555,99.2219,10,4.7,mb,42,128,2.491,0.57,"41 km N of Padangsidempuan, Indonesia",10.03,1.885,0.093,35
2025-03-17T21:57:05.552Z,51.8538,178.2576,106.6,3.1,ml,,,,0.53,"Rat Islands, Aleutian Islands, Alaska",,0.3,,
2025-03-17T21:18:02.059Z,-5.9036,145.8589,65.417,5.1,mb,72,39,3.71,0.75,"42 km N of Kainantu, Papua New Guinea",8.85,5.642,0.048,139
2025-03-17T20:33:46.796Z,-2.7924,130.115,10,4.3,mb,52,41,1.731,0.99,"139 km ENE of Masohi, Indonesia",2.78,1.87,0.094,34
2025-03-17T20:13:00.751Z,-5.736,145.5661,118.102,4.7,mb,63,102,4.084,0.5,"43 km NNE of Goroka, Papua New Guinea",9.19,6.476,0.06,84
2025-03-17T20:03:00.608Z,-58.5224,-24.8,10,4.5,mb,30,69,7.747,0.87,South Sandwich Islands region,11.6,1.906,0.103,28
2025-03-17T20:00:35.954Z,32.4841,130.5885,19.966,4.8,mb,82,82,0.979,0.44,"2 km SSW of Honmachi, Japan",5.13,3.926,0.061,84
2025-03-17T19:56:39.438Z,-7.5688,129.2771,118.54,4.3,mb,28,101,5.408,0.73,"272 km ENE of Lospalos, Timor Leste",6.77,7.865,0.133,16
2025-03-17T19:51:41.429Z,-2.9407,130.0883,10,4.6,mb,39,84,1.582,0.65,"130 km ENE of Masohi, Indonesia",6.08,1.892,0.107,28
2025-03-17T19:37:18.228Z,24.4394,93.449,49.533,4.2,mb,51,139,3.492,0.55,"25 km WNW of ChurÄchÄndpur, India",8.3,4.689,0.087,37
2025-03-17T19:31:38.231Z,24.4455,50.3869,10,4.1,mb,50,87,4.56,0.52,"95 km SSW of Umm BÄb, Qatar",5.78,1.752,0.083,40
2025-03-17T19:22:52.514Z,-18.0798,-178.0318,584.809,4.4,mb,65,42,2.949,0.75,"280 km E of Levuka, Fiji",9.34,7.266,0.066,67
2025-03-17T18:49:02.871Z,-2.813,130.1387,10,4.6,mb,40,105,1.714,0.7,"140 km ENE of Masohi, Indonesia",6.24,1.873,0.103,28
2025-03-17T18:48:10.256Z,-2.8859,130.0673,10,4.4,mb,40,63,1.634,0.76,"130 km ENE of Masohi, Indonesia",5.86,1.898,0.106,26
2025-03-17T17:46:01.212Z,-2.9205,129.938,10,4.4,mb,35,98,1.591,0.63,"115 km ENE of Masohi, Indonesia",4.91,1.871,0.117,21
2025-03-17T17:42:24.514Z,-9.0952,124.1633,97.152,5.1,mb,75,61,0.664,1.36,"26 km WNW of Pante Makasar, Timor Leste",6.8,6.16,0.057,99
2025-03-17T17:40:21.621Z,-2.9272,130.0091,10,4.6,mb,39,64,1.588,0.82,"122 km ENE of Masohi, Indonesia",6.37,1.885,0.109,25
2025-03-17T17:40:16.150Z,19.07533333,-155.3573333,32.61,3.49,ml,49,210,0.1271,0.11,"19 km SE of PÄhala, Hawaii",0.65,0.73,0.139238141,36
2025-03-17T17:32:18.505Z,-2.831,130.1617,18,5.8,mww,106,30,1.7,0.82,"142 km ENE of Masohi, Indonesia",5.41,1.832,0.054,33
2025-03-17T16:51:35.300Z,19.353,-67.05816667,21.53,3.14,md,8,306,0.8822,0.17,"94 km N of Isabela, Puerto Rico",2.98,15.58,0.173276868,9
2025-03-17T16:41:55.530Z,18.0755,-65.455,19.49,2.53,md,7,206,0.09544,0.19,"2 km SE of Esperanza, Puerto Rico",1.34,0.55,0.100812657,4
2025-03-17T15:41:51.772Z,8.0892,126.8133,35,4.9,mww,111,29,1.588,0.91,"42 km ENE of Santa Maria, Philippines",8.35,1.772,0.08,15
2025-03-17T13:38:35.366Z,35.2729,27.186,58.942,4.2,mb,28,154,1.208,0.75,"26 km S of Karpathos, Greece",7.65,5.628,0.175,9
2025-03-17T12:57:19.017Z,39.8908,142.1136,57.582,4.4,mb,76,133,1.204,0.96,"27 km E of Iwaizumi, Japan",6.29,7.484,0.072,55
2025-03-17T12:39:27.959Z,-26.8274,-176.8374,16.44,5.3,mb,121,52,2.594,1.29,south of the Fiji Islands,8.48,3.503,0.032,330
2025-03-17T12:33:55.624Z,9.3026,40.0862,10,4.4,mb,49,92,1.447,0.72,"36 km NNW of Ä€wash, Ethiopia",6.7,1.607,0.085,40
2025-03-17T12:26:03.261Z,-55.5446,-26.7004,10,4.7,mb,27,95,5.785,0.57,South Sandwich Islands region,7.61,1.925,0.113,24
2025-03-17T12:20:42.671Z,-24.3098,-175.5757,10,4.8,mb,41,60,5.358,0.98,south of Tonga,10.93,1.872,0.081,47
2025-03-17T11:42:30.567Z,-17.5228,67.092,10,4.6,mb,34,71,33.553,1.4,Mid-Indian Ridge,13.7,1.887,0.103,28
2025-03-17T11:19:55.007Z,58.6373,-156.5345,227.8,3.5,ml,,,,0.85,"9 km SE of King Salmon, Alaska",,0.4,,
2025-03-17T11:06:39.628Z,-25.2812,-176.3851,40.39,4.6,mb,32,101,4.18,0.61,south of the Fiji Islands,5.54,8.349,0.107,26
2025-03-17T10:44:16.622Z,-4.3929,35.1768,10,4.6,mb,34,132,3.503,0.69,"10 km ESE of Basotu, Tanzania",7.03,1.635,0.112,24
2025-03-17T09:50:24.528Z,19.5263,-109.1327,10,5.5,mww,110,101,1.85,1.28,Revilla Gigedo Islands region,6.77,1.76,0.039,63
2025-03-17T09:34:59.895Z,39.0701,-98.7412,5,3,mb_lg,39,42,0.647,0.63,"6 km SW of Luray, Kansas",3.25,1.99,0.046,122
